"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2381","test Internet dropdown test","","","passed","","","Elixir.HomePageTests","Elixir.HomePageTests",""
"","2370","test Key presses test","","","passed","","","Elixir.HomePageTests","Elixir.HomePageTests",""
"","3002","test Login page test - successful logout","","","passed","","","Elixir.HomePageTests","Elixir.HomePageTests",""
"","2294","test Checkbox test","","","passed","","","Elixir.HomePageTests","Elixir.HomePageTests",""
"","2917","test Login page test - successful login","","","passed","","","Elixir.HomePageTests","Elixir.HomePageTests",""
