"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"[Ingo][Greeting Header Widget]Verify Header Component with Long user name","140087","Verify Header Component with Long user name after login","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:55:12 GMT 2025","passed","Thu Mar 27 06:57:33 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","validateLongNameShowingOnHeaderAfterLogin"
"For non logged in users align the text and CTA on Games landing screen to center aligned","62084","Verify if the user is redirecting to Games screen from home page as a guest user","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:59:17 GMT 2025","passed","Thu Mar 27 07:00:19 GMT 2025","testcases.IngoGamesTest","GMAP INGO Tests | IngoGames","testcases.IngoGamesTest","verifyGamesScreenFromHomePage"
"User profile when there are no free liter transactions and also to check functionality of Free Liters Information Overlay","48865","User tries to click on the information overlay to see the info and closes it","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:42:47 GMT 2025","passed","Thu Mar 27 06:43:36 GMT 2025","testcases.FreeLitersTest","GMAP INGO Tests | FreeLiters","testcases.FreeLitersTest","freeLitersInformationOverlayTest"
"User tries to view Transaction Filter Screen","33654","when user taps on the filter icon on the list screen, user should be presented with the transaction filter screen","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:51:41 GMT 2025","passed","Thu Mar 27 06:52:15 GMT 2025","testcases.TransactionDetailsTest","GMAP INGO Tests | Transaction details","testcases.TransactionDetailsTest","checkTransactionFilterScreenIsDisplayed"
"Guest user is able to see dashboard components","21169","Guest user is able to see dashboard components","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:45:12 GMT 2025","broken","Thu Mar 27 06:45:33 GMT 2025","testcases.DashboardTest","GMAP INGO Tests | Dashboard","testcases.DashboardTest","guestUserIsAbleToSeeDashboardComponents"
"When user click on back chevron on transaction detail screen it will go back to transaction List Page","29003","User switch from transaction detail page to transaction list page","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:52:28 GMT 2025","passed","Thu Mar 27 06:52:57 GMT 2025","testcases.TransactionDetailsTest","GMAP INGO Tests | Transaction details","testcases.TransactionDetailsTest","userSwitchesFromTransactionDetailViewToTransactionListView"
"Background task that logs the user into the INGO application","124608","BACKGROUND: Log in as Existing user","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:48:33 GMT 2025","passed","Thu Mar 27 06:50:37 GMT 2025","testcases.TransactionDetailsTest","GMAP INGO Tests | Transaction details","testcases.TransactionDetailsTest","logInAs"
"Background task that logs the user into the INGO application","132583","BACKGROUND: Log in as user to check user transactions","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:55:10 GMT 2025","passed","Thu Mar 27 06:57:23 GMT 2025","testcases.UserTransactionTest","GMAP INGO Tests | UserTransaction","testcases.UserTransactionTest","logInAsToCheckUserTransaction"
"","40057","User views the Store card details when he clicks on store map Icon","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:44:21 GMT 2025","passed","Thu Mar 27 06:45:01 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","viewStoreCard"
"","86207","Verify the fuel types as filter for Store locator functionality","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 07:03:02 GMT 2025","passed","Thu Mar 27 07:04:28 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","verifyTheFuelTypesAsFilterForStoreLocatorFunctionality"
"User tries to view free liter transactions","233054","User tries to view the free liter history screen details","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:43:55 GMT 2025","passed","Thu Mar 27 06:47:48 GMT 2025","testcases.FreeLitersTest","GMAP INGO Tests | FreeLiters","testcases.FreeLitersTest","checkFreeLiterHistoryDetailsTest"
"","27598","User tries to view the stores in list view when there are no stores available nearby","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:43:40 GMT 2025","passed","Thu Mar 27 06:44:08 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","viewListWhenStoresAreNotAvailable"
"No transaction for applied filter","33046","verify No transaction for applied filter","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:58:21 GMT 2025","broken","Thu Mar 27 06:58:54 GMT 2025","testcases.UserTransactionTest","GMAP INGO Tests | UserTransaction","testcases.UserTransactionTest","checkTransactionFilterWhenAppliedForNoResult"
"Background task that logs the user into the INGO application","144501","BACKGROUND: Log in as Existing user","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 07:03:49 GMT 2025","passed","Thu Mar 27 07:06:13 GMT 2025","testcases.AccountTests","GMAP INGO Tests | Account","testcases.AccountTests","logInAsExistingUser"
"","35113","No Store Found message when user navigates from Map view to List view with no stores","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:49:19 GMT 2025","passed","Thu Mar 27 06:49:54 GMT 2025","testcases.StoreLocatorTest","GMAP INGO Tests | StoreMapView","testcases.StoreLocatorTest","userVerifyErrorMessageInListViewWithNoStores"
"Ability to apply filters to the list of transactions based on criteria","27205","User apply filters to the list of transactions based on criteria such as fuel type ,car wash","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:57:36 GMT 2025","passed","Thu Mar 27 06:58:03 GMT 2025","testcases.UserTransactionTest","GMAP INGO Tests | UserTransaction","testcases.UserTransactionTest","checkTransactionFiltersView"
"User's profile when there are no free liter transactions and also to check functionality of Free Liters Information Overlay","171272","User tries to view the free liter history when there are no free liter history transactions in his profile ","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:51:55 GMT 2025","passed","Thu Mar 27 06:54:47 GMT 2025","testcases.FreeLitersTest","GMAP INGO Tests | FreeLiters","testcases.FreeLitersTest","noFreeLitersInUserHistoryTest"
"User navigates to Free Liters History and interacts with the month picker.","19648","User navigates to Free Liters History screen and interacts with the month picker","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:48:06 GMT 2025","passed","Thu Mar 27 06:48:26 GMT 2025","testcases.FreeLitersTest","GMAP INGO Tests | FreeLiters","testcases.FreeLitersTest","interactWithMonthPickerTest"
"Background task that logs the user into the INGO application","142225","BACKGROUND: Log in as a user to check Free liters history transactions","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:40:07 GMT 2025","passed","Thu Mar 27 06:42:29 GMT 2025","testcases.FreeLitersTest","GMAP INGO Tests | FreeLiters","testcases.FreeLitersTest","logInAsAUserToCheckFreeLiter"
"User can view the Invoice of their purchases ","53537","User tries to view the Invoices in Account Section","GMAP INGO Mobile Test Automation - [ANDROID PARALLEL XML SUITE]","Thu Mar 27 06:42:45 GMT 2025","passed","Thu Mar 27 06:43:39 GMT 2025","testcases.InvoiceTest","GMAP INGO Tests | Invoices","testcases.InvoiceTest","viewInvoices"
